,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,geom,city
212613,54 Upper Berkeley Street Westminster Borough London W1H 7QR United Kingdom,130,2/16/2017,8.5,The Sumner Hotel, Israel ,No Negative,0,762, Location,2,8,9.6,"[' Leisure trip ', ' Travelers with friends ', ' Executive Double or Twin Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",168 day,51.515289200000005,-0.160898,"51.515289200000005,-0.160898",City of Westminster
207588,52 56 Inverness Terrace Westminster Borough London W2 3LB United Kingdom,545,10/7/2016,8.0,Shaftesbury Hyde Park International, Cambodia , The front desk girl is very cold never smile But the others staff is helpful ,17,2907, Location is very good,5,4,6.3,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",300 day,51.5123968,-0.186124,"51.5123968,-0.186124",City of Westminster
408189,Piazza Giuseppe Missori 1 Milan City Center 20123 Milan Italy,301,4/21/2016,8.4,Hotel Dei Cavalieri, Switzerland , Reception too busy long waiting line,7,3445, Location room size breakfast,5,1,6.7,"[' Business trip ', ' Solo traveler ', ' Business Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",469 day,45.4608547,9.1886179,"45.4608547,9.1886179",Milano
208467,52 Chiswell Street City of London London EC1Y 4SD United Kingdom,704,1/12/2016,8.8,The Montcalm At Brewery London City, United Kingdom , The Club room was quite cramped and the double bed was small but comfortable The bathroom was good but no bath We overlooked the street but no noise that disturbed us ,33,2617, Great value wonderful stay Will be back The Jugged Hare the restaurant of the hotel is very good with great staff and excellent food both in choice and quality Breakfast was very good also Short walk to Spitalfields market which is worth a visit The Barbican is next door for cinema and theatre plus Museum of London 10 minutes away 10 taxi ride to Leicester Square or take the tube which is close by ,76,44,8.3,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ']",569 day,51.520815500000005,-0.0915319,"51.520815500000005,-0.0915319",City of London
452088,Singerstra e 3 01 Innere Stadt 1010 Vienna Austria,74,2/17/2016,8.6,Hotel Royal, Georgia , uncomfortable beds breakfast the same each morning ,9,840, location staff wifi works absolutely wel metro station in 1 min by walk all sightseeing around you ,19,3,8.8,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 4 nights ']",533 day,48.2078727,16.3724042,"48.2078727,16.3724042",Wien
137442,3 rue du Pr aux Clercs 7th arr 75007 Paris France,32,6/3/2016,8.8,Le Saint Hotel Paris, Peru , The safe never worked,5,163, The location the breakfast and the bicycles ,9,11,7.9,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",426 day,48.856542100000006,2.3303504,"48.856542100000006,2.3303504",Paris
160795,354 Queenstown Road Battersea London SW8 4AE United Kingdom,568,10/24/2016,8.6,Pestana Chelsea Bridge Hotel Spa, United Kingdom , No free wifi in the rooms The shower cubicle feels very small compared to other hotels that have nice walk in showers The tap did fall off in the bath tub ,33,1686, It feels comfortable and luxurious ,7,9,10.0,"[' Business trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 3 nights ']",283 day,51.4815995,-0.1481053,"51.4815995,-0.1481053",London
514100,Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,6/8/2017,7.8,Holiday Inn London Kensington, Australia , Shower over the bath Climbing in and out a bit dodgy ,13,5945, Staff ultra friendly and helpful Very clean and tidy Meals were delicious ,14,5,9.2,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",56 days,51.499981,-0.19287910000000003,"51.499981,-0.19287910000000003",London
514287,Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,3/12/2017,7.8,Holiday Inn London Kensington, Malaysia , No fridge,3,5945, Location,2,2,7.5,"[' Business trip ', ' Solo traveler ', ' Standard Room ', ' Stayed 9 nights ', ' Submitted from a mobile device ']",144 day,51.499981,-0.19287910000000003,"51.499981,-0.19287910000000003",London
254368,82 Gloucester Place Westminster Borough London W1U 6HN United Kingdom,204,7/13/2017,7.5,Hotel 82 London, United Kingdom , Very small room and not very helpful staff,9,1733, Near to station,4,7,5.4,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",21 days,51.5195857,-0.1584803,"51.5195857,-0.1584803",City of Westminster
60764,152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,512,3/1/2016,8.0,Clayton Crown Hotel London, United Kingdom ,No Negative,0,2491, Staff were very helpful nothing was too much trouble for them ,13,7,9.2,"[' Leisure trip ', ' Group ', ' Deluxe Double and Single Room ', ' Stayed 1 night ']",520 day,51.556154799999995,-0.2141824,"51.556154799999995,-0.2141824",London
226656,626 Chiswick High St Chiswick London W4 5RY United Kingdom,562,12/25/2015,8.5,Clayton Hotel Chiswick, United Kingdom ,No Negative,0,1944, very friendly staff incredibly comfortable rooms,7,8,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",587 day,51.4924184,-0.27847009999999994,"51.4924184,-0.27847009999999994",London
21753,10 Place De Mexico 16th arr 75016 Paris France,34,11/29/2016,8.3,Le Metropolitan a Tribute Portfolio Hotel, Russia , I was extremely missing fried or boiled eggs on breakfast ,12,286, Great hotel with excellent staff nice rooms tasty breakfast And the location is great of course ,18,4,9.6,"[' Business trip ', ' Solo traveler ', ' Deluxe Room With Pool Access ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",247 day,48.8656973,2.2829776,"48.8656973,2.2829776",Paris
356006,Keizersgracht 148 Amsterdam City Center 1015 CX Amsterdam Netherlands,85,12/31/2016,9.3,Canal House, United Kingdom , Nothing the hotel was beautiful,6,491, The staff were all excellent ,7,2,9.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",215 day,52.376309899999995,4.886270099999999,"52.376309899999995,4.886270099999999",Amsterdam
349799,Joan Muyskenweg 10 Oost 1096 CJ Amsterdam Netherlands,474,11/18/2016,8.2,Mercure Hotel Amsterdam City South, United Kingdom , Very pricey shower design wasn t great water would overflow often ,13,3568, Friendly staff close to the train station only 10 15 mins on train to Amsterdam Central ,18,1,7.5,"[' Leisure trip ', ' Couple ', ' Privilege Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",258 day,52.335182,4.9138687999999995,"52.335182,4.9138687999999995",Amsterdam
168837,38 Rue Du Faubourg Saint Honore 8th arr 75008 Paris France,118,5/23/2016,7.2,H tel De Castiglione, France , Breakfast disappointing and poor value ,7,1168,No Positive,0,4,7.9,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",437 day,48.8691758,2.3205807000000003,"48.8691758,2.3205807000000003",Paris
59735,151 157 City Road Shoreditch Islington London EC1V 1JS United Kingdom,1471,8/11/2015,9.1,M by Montcalm Shoreditch London Tech City, United Kingdom , iPads to control room froze however they quickly fixed it,11,4802, Excellent room and service lovely spa,7,4,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",723 day,51.5278465,-0.0889473,"51.5278465,-0.0889473",London
197707,5 Curzon St Westminster Borough London W1J 5HL United Kingdom,431,7/28/2016,7.9,Washington Mayfair Hotel, Australia ,No Negative,0,1532, Location and the quiet rooms,6,3,9.2,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ']",371 day,51.5060237,-0.151078,"51.5060237,-0.151078",City of Westminster
507476,Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,4/28/2016,8.7,Park Plaza Westminster Bridge London, United Kingdom , Internal room a little dark compulsary service charge on drinks even tho we went to the bar for them wrong ,22,12158, Location and style of hotel,6,4,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Internal View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",462 day,51.5009609,-0.1165913,"51.5009609,-0.1165913",London
426561,Ratschkygasse 32 12 Meidling 1120 Vienna Austria,26,9/8/2015,7.9,Hotel Parco di Sch nbrunn Vienna, Romania , This not hotel Is pension they have 5 floors and not elevator ,14,576,No Positive,0,14,4.2,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",695 day,48.177623600000004,16.324358800000002,"48.177623600000004,16.324358800000002",Wien
401956,Pasteurgasse 1 09 Alsergrund 1090 Vienna Austria,84,2/7/2016,8.7,Hotel Palais Strudlhof, Czech Republic , Nothing,2,1356, Location suited my needs well,6,1,9.6,"[' Solo traveler ', ' Single Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",543 day,48.2217697,16.3578738,"48.2217697,16.3578738",Wien
211112,53 Park Lane Westminster Borough London W1K 1QA United Kingdom,173,9/27/2016,9.1,The Dorchester Dorchester Collection, United Kingdom , Nothing,2,545, Service was very good indeed,6,5,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",310 day,51.507400700000005,-0.1524593,"51.507400700000005,-0.1524593",City of Westminster
507912,Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,11/28/2015,8.7,Park Plaza Westminster Bridge London, United Kingdom ,No Negative,0,12158, Closeness to London Eye and Big Ben,8,13,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room with Internal View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",614 day,51.5009609,-0.1165913,"51.5009609,-0.1165913",London
290511,Bryanston Street Marble Arch Westminster Borough London W1H 7EH United Kingdom,908,3/2/2016,8.5,Amba Hotel Marble Arch, Qatar , Can t define it as wrong put it would be better if the coffee shop at the reception time opening been extended,23,3980, Every thing from the check in until check out ,11,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 3 nights ']",519 day,51.51440039999999,-0.1565506,"51.51440039999999,-0.1565506",City of Westminster
121994,25 Courtfield Gardens Kensington and Chelsea London SW5 0PG United Kingdom,222,4/12/2016,9.0,The Nadler Kensington, United States of America , Still think it s weird that they don t have washcloths in the bathrooms and my wifi and TV kept cutting in and out The staff were responsive on both counts so these were minor complaints ,38,1209, Extremely helpful staff Very clean Amazing location I love that they have the little kitchenette Saves time and money Nicely decorated ,23,1,9.2,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 8 nights ']",478 day,51.4931086,-0.190208,"51.4931086,-0.190208",London
72775,173 Gloucester Place Westminster Borough London NW1 6DX United Kingdom,468,3/20/2017,7.7,Park Avenue Baker Street, United Kingdom , Couldnt complain at all,5,1913, The bathroom,3,1,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",136 day,51.52414520000001,-0.16099070000000001,"51.52414520000001,-0.16099070000000001",City of Westminster
6925,1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,8/31/2016,8.4,Park Plaza County Hall London, United Kingdom ,No Negative,0,6117, Very clean and central hotel heart of London friendly staff and comfortable rooms excellent for a family ,19,3,9.2,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",337 day,51.5014001,-0.11600919999999999,"51.5014001,-0.11600919999999999",London
303291,Corso Concordia 1 Milan City Center 20129 Milan Italy,159,5/9/2017,9.0,Ch teau Monfort Relais Ch teaux, Australia ,No Negative,0,1053, Great staff Very good facilities Superb breakfast ,9,2,9.6,"[' Business trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",86 days,45.468235799999995,9.2073799,"45.468235799999995,9.2073799",Milano
65844,163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,9/23/2015,7.1,Britannia International Hotel Canary Wharf, United Kingdom ,No Negative,0,9086, good size room that has everything you need we had a good deal on the room and then booked a breakfast when we arrived for 10 great will use again ,32,4,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double Room without Window ', ' Stayed 1 night ']",680 day,51.5019097,-0.0232208,"51.5019097,-0.0232208",London
73605,18 21 Charterhouse Square Islington London EC1M 6AH United Kingdom,431,4/23/2017,8.7,Malmaison London, United Kingdom , Smell of smoke in the corridors not the hotels fault more an inconsiderate guest I assume ,18,1374, Room decor and spec comfy bed ,8,26,8.8,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 2 nights ']",102 day,51.520943,-0.10045810000000001,"51.520943,-0.10045810000000001",London
504746,Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,11/4/2016,8.7,Park Plaza Westminster Bridge London, United Kingdom , The house keeping knocked at 8am and 845am even though we were only staying one night and had not vacated the room There should be a system where they know when the key has been returned and they should definitely not knock twice after been turned away once Rooms near the lifts can hear the lifts going up and down all night,63,12158, The blackout curtains were fab and the free upgrade a bonus Room was a great size and nice elemis freebies ,22,4,7.5,"[' Leisure trip ', ' Group ', ' Superior Twin Room with Internal View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",272 day,51.5009609,-0.1165913,"51.5009609,-0.1165913",London
301440,Coram Street Camden London WC1N 1HT United Kingdom,709,7/10/2017,8.2,Holiday Inn London Bloomsbury, United Kingdom ,No Negative,0,2995, Everything ,3,3,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",24 days,51.524124799999996,-0.1258066,"51.524124799999996,-0.1258066",London
51498,144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,317,7/18/2017,7.6,Mercure London Paddington Hotel, New Zealand , When I arrived with my adult daughter I was informed that their system was only expecting one person and that it was a double room there was no apology and I felt their attitude was extremely unhelpful especially when my booking clearly stated it was a twin room for 2 adults and I showed that to the man on reception again there was no apology or any offer of discount all that was said was we are fully booked and this is the only room available The bed was a very small double in a very small room I paid a lot for this room so we would be comfortable and well rested for our early start the next day so much for that I would not stay again having been treated poorly by this one staff member who needs to understand the customer is always right especially when they have an email to prove it ,158,1458, Convenient location to Paddington Station ,7,10,7.5,"[' Leisure trip ', ' Family with young children ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",16 days,51.51611389999999,-0.1749521,"51.51611389999999,-0.1749521",City of Westminster
